投稿日時(JST),URL,種別,本文,画像URL
2024-07-15 01:36:49,https://x.com/osho_d29/status/1812526675374363046,リポスト,RT @ak2013stbr1: たいありでした〜 https://t.co/lRscQajGHn,https://pbs.twimg.com/media/GSdjW6EWEAAk_YJ.jpg | https://pbs.twimg.com/media/GSdjW67WEAAPAs-.jpg
2024-07-15 10:23:57,https://x.com/osho_d29/status/1812659334805094491,投稿,麻雀合宿2024 Day3 対戦よろしくお願いします #タルトの旅行記 https://t.co/t5valqUbqu,https://pbs.twimg.com/media/GSfcDU8WAAAZN2M.jpg
2024-07-15 21:55:12,https://x.com/osho_d29/status/1812833292078768610,リポスト,RT @messiah_go: うめさき、スタァライトやってくれ https://t.co/5GN9WY2zYA,https://pbs.twimg.com/media/GShWNjwa0AA0WcA.jpg
